dataset,pop,gen,time_sec,optimal_len,ga_len,error_percent
datasets/xqf131.tsp,1024,100,0.178479,564,583,3.36879
datasets/xqf131.tsp,1024,200,0.348916,564,581,3.01418
datasets/xqf131.tsp,1024,400,0.684979,564,581,3.01418
datasets/xqf131.tsp,1024,600,1.0051,564,581,3.01418
datasets/xqf131.tsp,1024,800,1.35245,564,581,3.01418
datasets/xqf131.tsp,2048,100,0.362374,564,574,1.77305
datasets/xqf131.tsp,2048,200,0.693814,564,574,1.77305
datasets/xqf131.tsp,2048,400,1.35806,564,573,1.59574
datasets/xqf131.tsp,2048,600,2.04061,564,570,1.06383
datasets/xqf131.tsp,2048,800,2.68534,564,570,1.06383
datasets/xqf131.tsp,4096,100,0.76043,564,571,1.24113
datasets/xqf131.tsp,4096,200,1.60375,564,568,0.70922
datasets/xqf131.tsp,4096,400,2.73143,564,564,0
datasets/xqf131.tsp,4096,600,4.12474,564,564,0
datasets/xqf131.tsp,4096,800,5.39718,564,564,0
datasets/xqf131.tsp,8192,100,1.50354,564,567,0.531915
datasets/xqf131.tsp,8192,200,2.90323,564,567,0.531915
datasets/xqf131.tsp,8192,400,5.71485,564,566,0.35461
datasets/xqf131.tsp,8192,600,8.35444,564,566,0.35461
datasets/xqf131.tsp,8192,800,11.106,564,566,0.35461
datasets/pka379.tsp,1024,100,0.994949,1332,1418,6.45646
datasets/pka379.tsp,1024,200,1.91769,1332,1418,6.45646
datasets/pka379.tsp,1024,400,3.68753,1332,1418,6.45646
datasets/pka379.tsp,1024,600,5.54139,1332,1416,6.30631
datasets/pka379.tsp,1024,800,7.29881,1332,1416,6.30631
datasets/pka379.tsp,2048,100,2.04801,1332,1372,3.003
datasets/pka379.tsp,2048,200,3.91365,1332,1372,3.003
datasets/pka379.tsp,2048,400,7.57847,1332,1372,3.003
datasets/pka379.tsp,2048,600,11.2108,1332,1372,3.003
datasets/pka379.tsp,2048,800,14.8803,1332,1372,3.003
datasets/pka379.tsp,4096,100,4.13419,1332,1394,4.65465
datasets/pka379.tsp,4096,200,7.86472,1332,1394,4.65465
datasets/pka379.tsp,4096,400,15.2347,1332,1385,3.97898
datasets/pka379.tsp,4096,600,22.62,1332,1377,3.37838
datasets/pka379.tsp,4096,800,29.9617,1332,1375,3.22823
datasets/pka379.tsp,8192,100,8.3476,1332,1362,2.25225
datasets/pka379.tsp,8192,200,16.3081,1332,1353,1.57658
datasets/pka379.tsp,8192,400,30.867,1332,1351,1.42643
datasets/pka379.tsp,8192,600,46.4207,1332,1351,1.42643
datasets/pka379.tsp,8192,800,60.9209,1332,1351,1.42643
datasets/pbk411.tsp,1024,100,1.22025,1343,1434,6.77587
datasets/pbk411.tsp,1024,200,2.25212,1343,1434,6.77587
datasets/pbk411.tsp,1024,400,4.31392,1343,1431,6.55249
datasets/pbk411.tsp,1024,600,6.4117,1343,1431,6.55249
datasets/pbk411.tsp,1024,800,8.45529,1343,1431,6.55249
datasets/pbk411.tsp,2048,100,2.4748,1343,1434,6.77587
datasets/pbk411.tsp,2048,200,4.59203,1343,1434,6.77587
datasets/pbk411.tsp,2048,400,8.80732,1343,1426,6.18019
datasets/pbk411.tsp,2048,600,13.0456,1343,1425,6.10573
datasets/pbk411.tsp,2048,800,17.2081,1343,1425,6.10573
datasets/pbk411.tsp,4096,100,4.95279,1343,1429,6.40357
datasets/pbk411.tsp,4096,200,9.261,1343,1429,6.40357
datasets/pbk411.tsp,4096,400,17.8331,1343,1429,6.40357
datasets/pbk411.tsp,4096,600,26.2174,1343,1429,6.40357
datasets/pbk411.tsp,4096,800,34.7657,1343,1427,6.25465
